"","CaseChannel","CaseDepartment","CaseID","Activity","Resource","CompleteTimestamp","Month","Weekday"
"1","Internet","General","case-10011","Confirmation of receipt","Resource21",2011-10-11 13:45:40.276,"10","2"
"2","Internet","General","case-10011","T02 Check confirmation of receipt","Resource10",2011-10-12 08:26:25.398,"10","3"
"3","Internet","General","case-10011","T03 Adjust confirmation of receipt","Resource21",2011-11-24 15:36:51.302,"11","4"
"4","Internet","General","case-10011","T02 Check confirmation of receipt","Resource21",2011-11-24 15:37:16.553,"11","4"
"5","Internet","General","case-10017","Confirmation of receipt","Resource30",2011-10-18 13:46:39.679,"10","2"
"6","Internet","General","case-10017","T06 Determine necessity of stop advice","Resource30",2011-10-18 13:47:06.95,"10","2"
"7","Internet","General","case-10017","T02 Check confirmation of receipt","Resource30",2011-10-18 13:47:26.235,"10","2"
"8","Internet","General","case-10017","T03 Adjust confirmation of receipt","Resource30",2011-10-18 13:47:41.811,"10","2"
"9","Internet","General","case-10017","T02 Check confirmation of receipt","Resource30",2011-10-18 13:47:57.979,"10","2"
"10","Internet","General","case-10017","T10 Determine necessity to stop indication","Resource30",2011-10-18 13:48:15.357,"10","2"
"11","Internet","General","case-10017","T03 Adjust confirmation of receipt","Resource30",2011-10-18 13:48:30.632,"10","2"
"12","Internet","General","case-10017","T02 Check confirmation of receipt","Resource30",2011-10-18 13:51:01.525,"10","2"
"13","Internet","General","case-10017","T03 Adjust confirmation of receipt","admin2",2011-10-18 13:56:57.603,"10","2"
"14","Internet","General","case-10024","Confirmation of receipt","Resource03",2011-10-18 15:53:19.732,"10","2"
"15","Internet","General","case-10024","T02 Check confirmation of receipt","Resource03",2011-10-18 15:53:38.108,"10","2"
"16","Internet","General","case-10024","T04 Determine confirmation of receipt","Resource03",2011-10-18 15:53:53.778,"10","2"
"17","Internet","General","case-10024","T05 Print and send confirmation of receipt","Resource03",2011-10-18 15:54:06.717,"10","2"
"18","Internet","General","case-10024","T06 Determine necessity of stop advice","Resource03",2011-10-18 15:54:24.121,"10","2"
"19","Internet","General","case-10024","T10 Determine necessity to stop indication","Resource03",2011-10-18 15:57:18.847,"10","2"
"20","Internet","General","case-10025","Confirmation of receipt","Resource03",2011-10-25 09:27:08.484,"10","2"
"21","Internet","General","case-10025","T02 Check confirmation of receipt","Resource03",2011-10-25 09:27:27.316,"10","2"
"22","Internet","General","case-10025","T04 Determine confirmation of receipt","Resource03",2011-10-25 09:27:46.307,"10","2"
"23","Internet","General","case-10025","T05 Print and send confirmation of receipt","Resource03",2011-10-25 09:28:00.504,"10","2"
"24","Internet","General","case-10025","T06 Determine necessity of stop advice","Resource03",2011-10-25 09:28:15.484,"10","2"
"25","Internet","General","case-10025","T10 Determine necessity to stop indication","Resource03",2011-10-25 09:28:33.002,"10","2"
"26","Internet","General","case-10028","Confirmation of receipt","Resource03",2011-10-25 14:13:10.744,"10","2"
"27","Internet","General","case-10028","T02 Check confirmation of receipt","Resource03",2011-10-25 14:13:31.837,"10","2"
"28","Internet","General","case-10028","T04 Determine confirmation of receipt","Resource03",2011-10-25 14:13:49.542,"10","2"
"29","Internet","General","case-10028","T05 Print and send confirmation of receipt","Resource03",2011-10-25 14:14:24.249,"10","2"
"30","Internet","General","case-10028","T06 Determine necessity of stop advice","Resource03",2011-10-25 14:22:15.239,"10","2"
"31","Internet","General","case-10028","T10 Determine necessity to stop indication","Resource03",2011-10-25 14:23:06.272,"10","2"
"32","Internet","General","case-10028","T16 Report reasons to hold request","Resource03",2011-10-25 14:23:58.755,"10","2"
"33","Internet","General","case-10028","T17 Check report Y to stop indication","Resource03",2011-10-25 14:24:22.922,"10","2"
"34","Internet","General","case-10028","T19 Determine report Y to stop indication","Resource03",2011-10-25 14:24:55.079,"10","2"
"35","Internet","General","case-10028","T20 Print report Y to stop indication","Resource03",2011-10-25 14:25:10.989,"10","2"
"36","Internet","General","case-10059","Confirmation of receipt","Resource06",2011-10-17 15:31:27.57,"10","1"
"37","Internet","General","case-10059","T02 Check confirmation of receipt","Resource06",2011-10-17 15:31:51.615,"10","1"
"38","Internet","General","case-10059","T04 Determine confirmation of receipt","Resource06",2011-10-17 15:32:34.591,"10","1"
"39","Internet","General","case-10059","T05 Print and send confirmation of receipt","Resource06",2011-10-17 15:33:42.796,"10","1"
"40","Internet","General","case-10059","T06 Determine necessity of stop advice","Resource06",2011-10-17 15:34:25.518,"10","1"
"41","Internet","General","case-10059","T10 Determine necessity to stop indication","Resource06",2011-10-17 15:41:19.472,"10","1"
"42","Internet","General","case-10061","Confirmation of receipt","Resource03",2011-10-24 15:00:50.433,"10","1"
"43","Internet","General","case-10061","T06 Determine necessity of stop advice","Resource03",2011-10-24 15:01:21.907,"10","1"
"44","Internet","General","case-10061","T10 Determine necessity to stop indication","Resource03",2011-10-24 15:01:44.536,"10","1"
"45","Internet","General","case-10061","T02 Check confirmation of receipt","Resource03",2011-10-24 15:01:59.826,"10","1"
"46","Internet","General","case-10061","T04 Determine confirmation of receipt","Resource03",2011-10-24 15:02:16.227,"10","1"
"47","Internet","General","case-10061","T05 Print and send confirmation of receipt","Resource03",2011-10-24 15:02:32.399,"10","1"
"48","Internet","Customer contact","case-10062","Confirmation of receipt","admin2",2011-10-18 13:34:39.087,"10","2"
"49","Internet","General","case-10065","Confirmation of receipt","Resource06",2011-10-28 10:31:29.136,"10","5"
"50","Internet","General","case-10065","T02 Check confirmation of receipt","Resource06",2011-10-28 10:31:49.811,"10","5"
"51","Internet","General","case-10065","T04 Determine confirmation of receipt","Resource06",2011-10-28 10:32:08.374,"10","5"
"52","Internet","General","case-10065","T05 Print and send confirmation of receipt","Resource06",2011-10-28 10:32:49.753,"10","5"
"53","Internet","General","case-10065","T06 Determine necessity of stop advice","Resource06",2011-10-28 10:45:06.394,"10","5"
"54","Internet","General","case-10065","T10 Determine necessity to stop indication","Resource06",2011-10-28 11:01:50.118,"10","5"
"55","Internet","General","case-10066","Confirmation of receipt","Resource22",2011-11-22 13:46:36.256,"11","2"
"56","Internet","General","case-10066","T02 Check confirmation of receipt","Resource22",2011-11-22 13:48:39.989,"11","2"
"57","Internet","General","case-10066","T04 Determine confirmation of receipt","Resource22",2011-11-22 13:49:21.982,"11","2"
"58","Internet","General","case-10066","T05 Print and send confirmation of receipt","Resource22",2011-11-22 13:52:51.629,"11","2"
"59","Internet","General","case-10066","T06 Determine necessity of stop advice","Resource22",2011-11-22 13:57:59.101,"11","2"
"60","Internet","General","case-10066","T10 Determine necessity to stop indication","Resource22",2011-11-22 13:59:50.916,"11","2"
"61","Internet","General","case-10067","Confirmation of receipt","Resource13",2011-11-09 20:39:03.392,"11","3"
"62","Internet","General","case-10067","T02 Check confirmation of receipt","Resource13",2011-11-09 20:39:34.137,"11","3"
"63","Internet","General","case-10067","T04 Determine confirmation of receipt","Resource13",2011-11-09 20:40:02.334,"11","3"
"64","Internet","General","case-10067","T05 Print and send confirmation of receipt","Resource13",2011-11-09 20:40:26.677,"11","3"
"65","Internet","General","case-10067","T06 Determine necessity of stop advice","Resource13",2011-11-09 20:40:49.698,"11","3"
"66","Internet","General","case-10067","T10 Determine necessity to stop indication","Resource13",2011-11-09 20:41:13.745,"11","3"
"67","Internet","General","case-10068","Confirmation of receipt","Resource20",2011-10-20 12:39:37.946,"10","4"
"68","Internet","General","case-10068","T02 Check confirmation of receipt","Resource20",2011-10-20 12:40:07.912,"10","4"
"69","Internet","General","case-10068","T04 Determine confirmation of receipt","Resource20",2011-10-20 12:40:31.903,"10","4"
"70","Internet","General","case-10068","T05 Print and send confirmation of receipt","Resource20",2011-10-20 12:41:02.031,"10","4"
"71","Internet","General","case-10068","T06 Determine necessity of stop advice","Resource20",2011-10-20 12:41:28.6,"10","4"
"72","Internet","General","case-10068","T10 Determine necessity to stop indication","Resource20",2011-10-20 12:42:01.99,"10","4"
"73","Internet","General","case-10069","Confirmation of receipt","Resource08",2011-11-07 15:10:10.205,"11","1"
"74","Internet","General","case-10069","T02 Check confirmation of receipt","Resource08",2011-11-07 15:11:51.689,"11","1"
"75","Internet","General","case-10069","T04 Determine confirmation of receipt","Resource08",2011-11-07 15:12:53.254,"11","1"
"76","Internet","General","case-10069","T05 Print and send confirmation of receipt","Resource08",2011-11-07 15:13:17.976,"11","1"
"77","Internet","General","case-10069","T06 Determine necessity of stop advice","Resource08",2011-11-07 15:14:49.848,"11","1"
"78","Internet","General","case-10069","T10 Determine necessity to stop indication","Resource08",2011-11-07 15:16:47.427,"11","1"
"79","Internet","General","case-10070","Confirmation of receipt","Resource13",2011-11-09 19:43:25.05,"11","3"
"80","Internet","General","case-10070","T06 Determine necessity of stop advice","Resource13",2011-11-09 19:43:50.463,"11","3"
"81","Internet","General","case-10070","T02 Check confirmation of receipt","Resource13",2011-11-09 19:44:27.071,"11","3"
"82","Internet","General","case-10070","T04 Determine confirmation of receipt","Resource13",2011-11-09 19:44:58.894,"11","3"
"83","Internet","General","case-10070","T10 Determine necessity to stop indication","Resource13",2011-11-09 19:45:21.385,"11","3"
"84","Internet","General","case-10070","T05 Print and send confirmation of receipt","Resource13",2011-11-09 19:48:48.443,"11","3"
"85","Internet","General","case-10071","Confirmation of receipt","Resource21",2011-10-19 09:56:55.204,"10","3"
"86","Internet","General","case-10071","T02 Check confirmation of receipt","Resource21",2011-10-19 09:57:39.722,"10","3"
"87","Internet","General","case-10071","T04 Determine confirmation of receipt","Resource21",2011-10-19 09:58:15.323,"10","3"
"88","Internet","General","case-10071","T05 Print and send confirmation of receipt","Resource21",2011-10-19 09:58:36.018,"10","3"
"89","Internet","General","case-10071","T06 Determine necessity of stop advice","Resource21",2011-10-19 09:58:54.326,"10","3"
"90","Internet","General","case-10071","T10 Determine necessity to stop indication","Resource21",2011-10-20 14:06:59.06,"10","4"
"91","Internet","General","case-10071","T11 Create document X request unlicensed","Resource21",2012-01-18 09:48:33.68,"1","3"
"92","Internet","General","case-10071","T12 Check document X request unlicensed","Resource21",2012-01-18 09:49:09.359,"1","3"
"93","Internet","General","case-10071","T14 Determine document X request unlicensed","Resource21",2012-01-18 09:49:44.753,"1","3"
"94","Internet","General","case-10071","T15 Print document X request unlicensed","Resource21",2012-01-18 09:50:57.577,"1","3"
"95","Internet","General","case-10072","Confirmation of receipt","Resource02",2011-10-31 11:09:14.275,"10","1"
"96","Internet","General","case-10072","T02 Check confirmation of receipt","Resource02",2011-10-31 11:10:03.929,"10","1"
"97","Internet","General","case-10072","T04 Determine confirmation of receipt","Resource02",2011-10-31 11:10:37.26,"10","1"
"98","Internet","General","case-10072","T05 Print and send confirmation of receipt","Resource02",2011-10-31 11:10:54.423,"10","1"
"99","Internet","General","case-10072","T06 Determine necessity of stop advice","Resource02",2011-10-31 11:36:38.174,"10","1"
"100","Internet","General","case-10072","T10 Determine necessity to stop indication","Resource02",2011-10-31 11:37:11.319,"10","1"
"101","Internet","General","case-10073","Confirmation of receipt","Resource22",2011-11-29 14:28:08.93,"11","2"
"102","Internet","General","case-10073","T02 Check confirmation of receipt","Resource22",2011-11-29 14:40:03.247,"11","2"
"103","Internet","General","case-10073","T04 Determine confirmation of receipt","Resource22",2011-11-29 14:40:32.371,"11","2"
"104","Internet","General","case-10073","T05 Print and send confirmation of receipt","Resource22",2011-11-29 14:41:12.227,"11","2"
"105","Internet","General","case-10073","T06 Determine necessity of stop advice","Resource22",2011-11-29 14:42:10.34,"11","2"
"106","Internet","General","case-10073","T07-1 Draft intern advice aspect 1","Resource22",2011-11-30 10:53:50.203,"11","3"
"107","Internet","General","case-10073","T08 Draft and send request for advice","Resource22",2011-11-30 10:54:46.581,"11","3"
"108","Internet","General","case-10073","T09-1 Process or receive external advice from party 1","Resource22",2011-11-30 11:02:33.53,"11","3"
"109","Internet","General","case-10073","T06 Determine necessity of stop advice","Resource22",2011-11-30 11:04:28.307,"11","3"
"110","Internet","General","case-10073","T10 Determine necessity to stop indication","Resource22",2011-11-30 11:05:12.807,"11","3"
"111","Internet","Customer contact","case-10075","Confirmation of receipt","admin2",2011-10-20 11:57:52.783,"10","4"
"112","Internet","General","case-10087","Confirmation of receipt","Resource03",2011-10-24 15:57:27.372,"10","1"
"113","Internet","General","case-10087","T02 Check confirmation of receipt","Resource03",2011-10-24 15:57:45.747,"10","1"
"114","Internet","General","case-10087","T04 Determine confirmation of receipt","Resource03",2011-10-24 15:58:02.043,"10","1"
"115","Internet","General","case-10087","T05 Print and send confirmation of receipt","Resource03",2011-10-24 15:58:19.298,"10","1"
"116","Internet","General","case-10087","T06 Determine necessity of stop advice","Resource03",2011-10-24 15:58:34.305,"10","1"
"117","Internet","General","case-10087","T10 Determine necessity to stop indication","Resource03",2011-10-24 15:58:55.006,"10","1"
"118","Internet","General","case-10089","Confirmation of receipt","Resource20",2011-10-18 16:12:35.899,"10","2"
"119","Internet","General","case-10089","T02 Check confirmation of receipt","Resource20",2011-10-18 16:14:00.02,"10","2"
"120","Internet","General","case-10089","T04 Determine confirmation of receipt","Resource20",2011-10-18 16:14:55.271,"10","2"
"121","Internet","General","case-10089","T05 Print and send confirmation of receipt","Resource20",2011-10-18 16:15:26.326,"10","2"
"122","Internet","General","case-10089","T06 Determine necessity of stop advice","Resource20",2011-10-18 16:16:01.203,"10","2"
"123","Internet","General","case-10089","T10 Determine necessity to stop indication","Resource20",2011-10-18 16:16:30.526,"10","2"
"124","Internet","General","case-10089","T11 Create document X request unlicensed","admin2",2011-10-24 12:02:20.931,"10","1"
"125","Internet","General","case-10090","Confirmation of receipt","Resource03",2011-10-24 16:25:16.886,"10","1"
"126","Internet","General","case-10090","T02 Check confirmation of receipt","Resource03",2011-10-24 16:25:48.093,"10","1"
"127","Internet","General","case-10090","T04 Determine confirmation of receipt","Resource03",2011-10-24 16:26:08.81,"10","1"
"128","Internet","General","case-10090","T05 Print and send confirmation of receipt","Resource03",2011-10-24 16:26:35.495,"10","1"
"129","Internet","General","case-10090","T06 Determine necessity of stop advice","Resource03",2011-10-24 16:27:22.161,"10","1"
"130","Internet","General","case-10090","T10 Determine necessity to stop indication","Resource03",2011-10-24 16:27:44.39,"10","1"
"131","Internet","General","case-10094","Confirmation of receipt","Resource03",2011-10-25 15:07:27.732,"10","2"
"132","Internet","General","case-10094","T02 Check confirmation of receipt","Resource03",2011-10-25 15:07:50.83,"10","2"
"133","Internet","General","case-10094","T04 Determine confirmation of receipt","Resource03",2011-10-25 15:08:07.876,"10","2"
"134","Internet","General","case-10094","T05 Print and send confirmation of receipt","Resource03",2011-10-25 15:08:27.483,"10","2"
"135","Internet","General","case-10094","T06 Determine necessity of stop advice","Resource03",2011-10-25 15:08:48.537,"10","2"
"136","Internet","General","case-10094","T10 Determine necessity to stop indication","Resource03",2011-10-25 15:09:15.981,"10","2"
"137","Internet","General","case-10095","Confirmation of receipt","admin2",2011-11-14 09:26:07.385,"11","1"
"138","Internet","General","case-10098","Confirmation of receipt","Resource03",2011-10-25 16:06:58.586,"10","2"
"139","Internet","General","case-10098","T02 Check confirmation of receipt","Resource03",2011-10-25 16:07:20.077,"10","2"
"140","Internet","General","case-10098","T04 Determine confirmation of receipt","Resource03",2011-10-25 16:07:48.289,"10","2"
"141","Internet","General","case-10098","T05 Print and send confirmation of receipt","Resource03",2011-10-25 16:08:23.484,"10","2"
"142","Internet","General","case-10098","T06 Determine necessity of stop advice","Resource03",2011-10-25 16:08:54.842,"10","2"
"143","Internet","General","case-10098","T10 Determine necessity to stop indication","Resource03",2011-10-25 16:09:21.982,"10","2"
"144","Internet","General","case-10099","Confirmation of receipt","Resource03",2011-10-26 09:04:38.421,"10","3"
"145","Internet","General","case-10099","T02 Check confirmation of receipt","Resource03",2011-10-26 09:04:58.466,"10","3"
"146","Internet","General","case-10099","T04 Determine confirmation of receipt","Resource03",2011-10-26 09:05:15.074,"10","3"
"147","Internet","General","case-10099","T05 Print and send confirmation of receipt","Resource03",2011-10-26 09:05:29.235,"10","3"
"148","Internet","General","case-10099","T06 Determine necessity of stop advice","Resource03",2011-10-26 09:05:43.792,"10","3"
"149","Internet","General","case-10099","T10 Determine necessity to stop indication","Resource03",2011-10-26 09:07:16.656,"10","3"
"150","Internet","General","case-10101","Confirmation of receipt","Resource03",2011-10-26 11:44:51.917,"10","3"
"151","Internet","General","case-10101","T02 Check confirmation of receipt","Resource03",2011-10-26 11:45:23.672,"10","3"
"152","Internet","General","case-10101","T04 Determine confirmation of receipt","Resource03",2011-10-26 11:45:54.899,"10","3"
"153","Internet","General","case-10101","T05 Print and send confirmation of receipt","Resource03",2011-10-26 11:46:16.939,"10","3"
"154","Internet","General","case-10101","T06 Determine necessity of stop advice","Resource03",2011-10-26 11:46:40.098,"10","3"
"155","Internet","General","case-10101","T10 Determine necessity to stop indication","Resource03",2011-10-26 11:47:15.161,"10","3"
"156","Internet","General","case-10102","Confirmation of receipt","Resource02",2011-10-20 11:06:16.081,"10","4"
"157","Internet","General","case-10102","T02 Check confirmation of receipt","Resource02",2011-10-27 13:46:27.098,"10","4"
"158","Internet","General","case-10102","T04 Determine confirmation of receipt","Resource02",2011-10-27 13:46:49.205,"10","4"
"159","Internet","General","case-10102","T05 Print and send confirmation of receipt","admin1",2011-10-27 15:11:16.295,"10","4"
"160","Internet","General","case-10102","T06 Determine necessity of stop advice","Resource02",2011-11-17 08:13:20.068,"11","4"
"161","Internet","General","case-10102","T10 Determine necessity to stop indication","Resource02",2011-11-17 08:14:21.708,"11","4"
"162","Internet","General","case-10103","Confirmation of receipt","Resource02",2011-11-15 07:20:14.205,"11","2"
"163","Internet","General","case-10103","T02 Check confirmation of receipt","Resource02",2011-11-15 07:20:38.88,"11","2"
"164","Internet","General","case-10103","T04 Determine confirmation of receipt","Resource02",2011-11-15 07:21:00.327,"11","2"
"165","Internet","General","case-10103","T05 Print and send confirmation of receipt","Resource02",2011-11-15 07:21:22.524,"11","2"
"166","Internet","General","case-10103","T06 Determine necessity of stop advice","Resource02",2011-11-15 07:42:16.335,"11","2"
"167","Internet","General","case-10103","T10 Determine necessity to stop indication","Resource02",2011-11-15 07:42:43.828,"11","2"
"168","Internet","General","case-10105","Confirmation of receipt","Resource03",2011-10-26 14:45:46.454,"10","3"
"169","Internet","General","case-10105","T02 Check confirmation of receipt","Resource03",2011-10-26 14:46:05.211,"10","3"
"170","Internet","General","case-10105","T04 Determine confirmation of receipt","Resource03",2011-10-26 14:46:20.612,"10","3"
"171","Internet","General","case-10105","T05 Print and send confirmation of receipt","Resource03",2011-10-26 14:46:39.019,"10","3"
"172","Internet","General","case-10105","T06 Determine necessity of stop advice","Resource03",2011-10-26 14:46:55.969,"10","3"
"173","Internet","General","case-10105","T10 Determine necessity to stop indication","Resource03",2011-10-26 14:47:17.5,"10","3"
"174","Internet","General","case-10120","Confirmation of receipt","Resource05",2011-10-25 09:56:31.704,"10","2"
"175","Internet","General","case-10120","T02 Check confirmation of receipt","Resource05",2011-10-25 09:57:00.379,"10","2"
"176","Internet","General","case-10120","T04 Determine confirmation of receipt","Resource05",2011-10-25 11:34:25.395,"10","2"
"177","Internet","General","case-10120","T05 Print and send confirmation of receipt","Resource05",2011-10-25 11:34:46.25,"10","2"
"178","Internet","General","case-10120","T06 Determine necessity of stop advice","Resource05",2011-10-25 11:35:58.954,"10","2"
"179","Internet","General","case-10120","T10 Determine necessity to stop indication","Resource05",2011-10-25 13:45:05.459,"10","2"
"180","Internet","General","case-10127","Confirmation of receipt","Resource06",2011-10-27 08:37:51.459,"10","4"
