log,method,#contexts,#CT,#AT,#TT,impurity,dispersal,score,CPU time
sepsis,SA-based,15,2,8,1,0.286149,0.080124,0.803873,1:37:07
sepsis,SA-based,18,2,10,1,0.172136,0.063199,0.878970,0:25:31
sepsis,SA-based,7,1,7,1,0.172778,0.002631,0.904362,0:55:52
sepsis,SA-based,18,2,10,1,0.172123,0.084775,0.869362,0:31:09
sepsis,SA-based,15,2,8,1,0.172121,0.067294,0.877172,0:15:12
sepsis,SA-based,16,2,9,1,0.172239,0.054830,0.882578,0:37:11
sepsis,SA-based,7,1,7,1,0.172778,0.004707,0.903508,1:00:02
sepsis,SA-based,31,2,11,2,0.171480,0.175200,0.826656,0:13:25
sepsis,SA-based,14,2,8,1,0.172143,0.009217,0.902022,0:26:48
sepsis,SA-based,33,2,12,2,0.171078,0.205565,0.811312,1:06:05
sepsis,SOTA,5,5,5,5,0.650,0.604,0.371,
sepsis,SOTA,5,5,5,5,0.646,0.608,0.372,
sepsis,SOTA,5,5,5,5,0.501,0.467,0.515,
sepsis,SOTA,5,5,5,5,0.587,0.548,0.431,
sepsis,SOTA,5,5,5,5,0.713,0.616,0.329,
sepsis,SOTA,5,5,5,5,0.474,0.457,0.534,
sepsis,SOTA,5,5,5,5,0.520,0.470,0.504,
sepsis,SOTA,5,5,5,5,0.584,0.545,0.435,
sepsis,SOTA,5,5,5,5,0.469,0.458,0.536,
sepsis,SOTA,5,5,5,5,0.650,0.602,0.373,
wabo,SA-based,594,6,14,65,0.577759,0.511204,0.453087,0:02:32
wabo,SA-based,552,3,20,65,0.571985,0.549103,0.439158,0:03:03
wabo,SA-based,320,10,5,65,0.600944,0.414287,0.474695,0:00:00
wabo,SA-based,648,3,24,65,0.566330,0.567056,0.433307,0:01:15
wabo,SA-based,334,10,6,65,0.600405,0.414351,0.475055,0:00:04
wabo,SA-based,378,10,12,65,0.595496,0.417481,0.477459,0:00:00
wabo,SA-based,332,10,7,65,0.599532,0.414310,0.475685,0:00:25
wabo,SA-based,345,10,7,65,0.600236,0.414373,0.475167,0:01:02
wabo,SA-based,742,5,24,65,0.555253,0.575570,0.434351,0:12:03
wabo,SA-based,368,10,9,65,0.599532,0.414397,0.475656,0:01:35
wabo,SOTA (k=2),2,2,2,2,0.916,0.214,0.153,
wabo,SOTA (k=2),2,2,2,2,0.927,0.317,0.131,
wabo,SOTA (k=2),2,2,2,2,0.916,0.214,0.152,
wabo,SOTA (k=2),2,2,2,2,0.916,0.213,0.151,
wabo,SOTA (k=2),2,2,2,2,0.915,0.217,0.154,
wabo,SOTA (k=2),2,2,2,2,0.922,0.300,0.141,
wabo,SOTA (k=2),2,2,2,2,0.915,0.214,0.153,
wabo,SOTA (k=2),2,2,2,2,0.928,0.318,0.130,
wabo,SOTA (k=2),2,2,2,2,0.922,0.300,0.141,
wabo,SOTA (k=2),2,2,2,2,0.915,0.212,0.154,
wabo,SOTA (k=3),3,3,3,3,0.895,0.384,0.18,
wabo,SOTA (k=3),3,3,3,3,0.811,0.272,0.3,
wabo,SOTA (k=3),3,3,3,3,0.818,0.303,0.288,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
wabo,SOTA (k=3),,,,,,,,
