log,method,#contexts,#CT,#AT,#TT,impurity,dispersal,score,CPU time
bpic15,SA-based,794,37,35,2,0.421072,0.425524,0.576693,0:13:24
bpic15,SA-based,114,33,2,2,0.457224,0.233771,0.635430,0:07:16
bpic15,SA-based,845,49,30,2,0.386592,0.355723,0.628464,0:20:07
bpic15,SA-based,594,35,19,2,0.455957,0.304241,0.610618,0:33:29
bpic15,SA-based,1455,47,37,2,0.361970,0.455267,0.587702,0:28:12
bpic15,SA-based,555,33,22,2,0.458965,0.316475,0.603990,0:55:57
bpic15,SA-based,668,39,27,2,0.470901,0.293521,0.605057,0:06:58
bpic15,SA-based,123,52,2,2,0.428814,0.223967,0.658036,0:46:52
bpic15,SA-based,524,37,13,2,0.471832,0.284522,0.607717,1:51:28
bpic15,SA-based,145,63,2,2,0.418679,0.225678,0.664083,0:28:07
bpic15,tree-based,571,101,8,2,0.406782,0.289690,0.646505,0:03:44
bpic15,tree-based,2583,97,22,6,0.373741,0.457418,0.581425,0:34:46
bpic15,tree-based,1787,98,28,2,0.379879,0.398816,0.610506,0:23:36
bpic15,tree-based,1547,100,23,2,0.386216,0.414984,0.599055,0:19:17
bpic15,tree-based,1149,100,20,2,0.398293,0.327261,0.635243,0:09:09
bpic15,tree-based,450,98,3,3,0.399541,0.338272,0.629606,0:03:04
bpic15,tree-based,1671,99,27,2,0.383742,0.375763,0.620222,0:21:04
bpic15,tree-based,1670,98,25,2,0.383102,0.424332,0.595570,0:18:43
bpic15,tree-based,1255,100,11,3,0.378420,0.475675,0.568825,0:11:20
bpic15,tree-based,1612,97,25,2,0.382275,0.393168,0.612230,0:19:00
bpic17,SA-based,2038,2,18,84,0.621476,0.516072,0.424785,2:28:23
bpic17,SA-based,1916,3,14,84,0.632083,0.506603,0.421517,2:25:26
bpic17,SA-based,2669,2,20,84,0.615283,0.577837,0.402571,3:13:55
bpic17,SA-based,2061,2,23,84,0.616969,0.583398,0.399112,2:24:53
bpic17,SA-based,2134,2,18,84,0.624293,0.561520,0.404674,1:10:47
bpic17,SA-based,1733,2,19,84,0.621489,0.571389,0.402006,1:22:56
bpic17,SA-based,1852,2,15,84,0.625079,0.536654,0.414470,1:06:14
bpic17,SA-based,2458,2,21,84,0.616535,0.574356,0.403455,2:38:16
bpic17,SA-based,2438,3,18,84,0.621662,0.546714,0.412435,4:00:02
bpic17,SA-based,6607,22,8,84,0.701299,0.669021,0.314013,23:38:58
bpic17,tree-based,3050,6,14,84,0.646284,0.598807,0.375962,5:27:18
bpic17,tree-based,3310,6,15,84,0.642172,0.624192,0.366598,6:31:02
bpic17,tree-based,362,2,24,8,0.700388,0.567489,0.353999,1:07:15
bpic17,tree-based,4115,6,13,84,0.637567,0.630521,0.365922,7:20:46
