step,dispersal,impurity,target
0,0.362135,0.957423,1.042577
1,0.464651,0.943755,0.297363
2,0.237559,0.942388,0.490185
3,0.466259,0.928663,0.977273
4,0.436535,0.897683,0.097109
5,0.443088,0.889425,0.024211
6,0.443644,0.887806,0.003075
7,0.502373,0.879158,0.142118
8,0.514842,0.877033,0.027238
9,0.514845,0.876937,0.000116
10,0.596992,0.861941,0.176657
11,0.615332,0.851528,0.042802
12,0.633853,0.839390,0.044353
13,0.648007,0.828551,0.035243
14,0.648014,0.828462,0.000117
15,0.663383,0.822085,0.031415
