step,dispersal,impurity,target
0,0.000125,0.999941,-0.000251
1,0.000721,0.999753,-0.001441
2,0.001691,0.999424,-0.003376
3,0.005556,0.998280,-0.011050
4,0.074301,0.986395,-0.138193
5,0.140898,0.979275,-0.246351
6,0.202043,0.972116,-0.334552
7,0.274766,0.945280,-0.425773
8,0.331720,0.912978,-0.486629
9,0.382059,0.907226,-0.537684
10,0.413943,0.886427,-0.564347
11,0.483385,0.872430,-0.622090
12,0.554388,0.827319,-0.663897
13,0.638492,0.765250,-0.696148
14,0.674016,0.730554,-0.701147
15,0.696853,0.714196,-0.705418
